Publication Number,Title,Relevancy,Priority Date,Application Date,Publication Date,Parent Assignee,Assignee,Type of assignee,Inventor,Abstract,Claims,Family,Hex Color,Tagging,Epriorityno,External Technology Relevance,Internal Technology Relevance,Technology Relevance,Market Coverage,Competitive Impact,ECI,Patent Assest Index,Active Authority,Uploading Date,Overall family legal status,Relevant result legal status,All family Members legal status,Expiry,IPC,CPC,headquarter
CN115009050A,"Vehicle wireless charging protection method and device, storage medium and wireless charging vehicle",H,2022-06-07,2022-06-07,2022-09-06,FAW GROUP,CHINA FIRST AUTOMOBILE WORKS (FAW) ,,"SONG JIANGZHU
JIANG TAO
LI WEI
LIANG SHIFU","The invention discloses a vehicle wireless charging protection method and device, a storage medium and a wireless charging vehicle. The method comprises the steps of firstly obtaining wireless charging calibration data, first coil temperature and target impedance of a target vehicle, further calculating to obtain second coil temperature of the target vehicle based on the wireless charging calibration data and the target impedance, and finally performing wireless charging adjustment on the target vehicle according to the first coil temperature and the second coil temperature to obtain a target charging result. The invention solves the technical problems of low detection accuracy and poor reliability of the method for carrying out wireless charging protection by detecting the temperature of the vehicle-mounted coil in the prior art.","1. A vehicle wireless charging protection method is characterized by comprising the following steps:
 the method comprises the steps of obtaining wireless charging calibration data, a first coil temperature and a target impedance of a target vehicle, wherein the wireless charging calibration data are used for determining wireless charging state information obtained by testing when the target vehicle is off the line in the whole process, the first coil temperature is used for representing the real-time coil temperature of the target vehicle for wireless charging, and the target impedance is used for representing the real-time system equivalent impedance of the target vehicle for wireless charging;
 calculating a second coil temperature of the target vehicle based on the wireless charging calibration data and the target impedance, wherein the second coil temperature is used for representing an expected coil temperature for wireless charging;
 and performing wireless charging adjustment on the target vehicle according to the first coil temperature and the second coil temperature to obtain a target charging result.
2. The method of claim 1, wherein the wireless charging calibration data comprises: the calibration coil temperature and the calibration impedance correspond to the target vehicle, wherein the calibration coil temperature is the coil temperature when the target vehicle is wirelessly charged at rated power in the whole vehicle offline test, and the calibration impedance is the system equivalent impedance when the target vehicle is wirelessly charged at rated power in the whole vehicle offline test.
3. The method of claim 1, wherein obtaining a first coil temperature and a target impedance of a target vehicle comprises:
 acquiring the first coil temperature by using a coil temperature sensor of the target vehicle;
 acquiring real-time coil voltage data by using a voltage detector of the target vehicle;
 acquiring real-time coil current data by using a current detector of the target vehicle;
 and calculating based on the coil real-time voltage data and the coil real-time current data to obtain the target impedance.
4. The method of claim 2, wherein calculating a second coil temperature of the target vehicle based on the wireless charging calibration data and the target impedance comprises:
 determining a target corresponding relation of the target vehicle based on the calibration coil temperature and the calibration impedance in the wireless charging calibration data, wherein the target corresponding relation is used for determining the corresponding relation between the coil temperature of the target vehicle and the system equivalent impedance;
 and determining a second coil temperature of the target vehicle corresponding to the target impedance according to the target corresponding relation.
5. The method of claim 1, wherein performing wireless charging adjustments for the target vehicle based on the first coil temperature and the second coil temperature, and obtaining a target charging result comprises:
 comparing and analyzing the first coil temperature and the second coil temperature based on a first preset threshold value, a second preset threshold value, and obtaining wireless charging adjustment information, wherein the first preset threshold value is used for determining a safe value range of the coil temperature when the target vehicle is wirelessly charged, and the second preset threshold value is used for determining a safe difference value range between the real-time coil temperature and an expected coil temperature when the target vehicle is wirelessly charged;
 and performing wireless charging adjustment on the target vehicle according to the wireless charging adjustment information to obtain the target charging result.
6. The method of claim 5, wherein obtaining wireless charging adjustment information based on the comparison analysis of the first preset threshold, the second preset threshold, the first coil temperature, and the second coil temperature comprises:
 responding to the fact that the first coil temperature is not smaller than the first preset threshold value, and generating first adjustment information, wherein the first adjustment information is used for determining that the wireless charging power of the target vehicle corresponding to the first coil temperature is reduced according to a first preset adjustment rule;
 in response to the first coil temperature being smaller than the first preset threshold, performing difference analysis on the first coil temperature and the second coil temperature according to the second preset threshold to generate a difference analysis result;
 and obtaining the wireless charging adjustment information according to the first adjustment information and the difference analysis result.
7. The method of claim 6, wherein performing a difference analysis on the first coil temperature and the second coil temperature according to the second preset threshold comprises:
 calculating the difference value of the first coil temperature and the second coil temperature to obtain a calculation result;
 generating second adjustment information in response to the calculation result not being smaller than a second preset threshold, wherein the second adjustment information is used for determining that the wireless charging power of the target vehicle corresponding to the first coil temperature is reduced according to a second preset adjustment rule;
 generating holding information in response to the calculation result being smaller than the second preset threshold, wherein the holding information is used for determining that the target vehicle is in a wireless charging safety state and does not need to be subjected to wireless charging adjustment;
 and determining the difference analysis result according to the second adjustment information and the holding information.
8. A vehicle wireless charging protection device, comprising:
 the system comprises an acquisition module, a detection module and a control module, wherein the acquisition module is used for acquiring wireless charging calibration data, a first coil temperature and a target impedance of a target vehicle, the wireless charging calibration data is used for determining wireless charging state information obtained by testing when the target vehicle is off line completely, the first coil temperature is used for representing the real-time coil temperature of the target vehicle for wireless charging, and the target impedance is used for representing the real-time system equivalent impedance of the target vehicle for wireless charging;
 the calculation module is used for calculating a second coil temperature of the target vehicle based on the wireless charging calibration data and the target impedance, wherein the second coil temperature is used for representing an expected coil temperature for wireless charging;
 and the adjusting module is used for performing wireless charging adjustment on the target vehicle according to the first coil temperature and the second coil temperature to obtain a target charging result.
9. A non-volatile storage medium, wherein a computer program is stored in the storage medium, wherein the computer program is configured to execute the vehicle wireless charging protection method according to any one of claims 1 to 7 when running.
10. A wirelessly charged vehicle comprising an onboard memory and an onboard processor, wherein the onboard memory has stored therein a computer program, the onboard processor being arranged to run the computer program to perform the vehicle wireless charge protection method as claimed in any one of claims 1 to 7.",CN115009050A,,,CN202210637101,0.497179806,0.497179806,0.994359612,0.473147988,0.235239625,0.47047925,0.47047925,CN,2022-11-29,PENDING,PENDING,PENDING,2042-06-07,,,
CN114994557A,Battery health state detection method and system,H,2022-06-20,2022-06-20,2022-09-02,ZHIXIN CONTROL SYSTEM ,ZHIXIN CONTROL SYSTEM ,,YU YAN,"The invention discloses a method and a system for detecting the health state of a battery, and relates to the technical field of detection of batteries for vehicles. The method comprises the following steps: step S1, acquiring the accurate frequency of the battery; step S2, applying the alternating current with the accurate frequency to the battery to enable the battery to generate impedance response; step S3, obtaining impedance data of impedance response; and step S4, acquiring a battery classification area according to the acquired impedance value. According to the battery health state detection method, the impedance response is generated by applying the alternating current with the accurate frequency, and the battery classification region information is acquired according to the impedance data of the impedance response, so that the real-time monitoring of the health state of the battery is realized, and the charging and discharging safety and the operation reliability of the battery in the electric vehicle are effectively guaranteed.","1. A battery state of health detection method is characterized by comprising the following steps:
 step S1, acquiring the accurate frequency of the battery;
 step S2, applying the alternating current with the accurate frequency to the battery to make the battery generate impedance response;
 step S3, obtaining impedance data of impedance response;
 and step S4, acquiring a battery classification area according to the acquired impedance value.
2. The battery state of health detection method of claim 1, wherein the step S1 specifically includes the steps of:
 step S11, applying a battery to perform frequency scanning with an alternating current in a preset frequency range to generate impedance response;
 step S12, acquiring impedance data of the battery under different SOC;
 step S13, drawing one or more impedance curves according to the acquired impedance data;
 and step S14, acquiring the accurate frequency of the battery according to the drawn one or more impedance curves.
3. The battery state of health detection method of claim 2, wherein the alternating current in steps S2 and S11 is an alternating current or an alternating voltage.
4. The battery state of health detection method of claim 2, wherein the step S12 specifically includes the steps of:
 and S120, acquiring impedance data of the battery at 10% SOC intervals between the charging of 0% SOC and the charging of 100% SOC.
5. The battery state of health detection method of claim 2, wherein the step S14 specifically includes the steps of:
 and S140, acquiring the frequency with the minimum impedance change during the charging or discharging process of the battery as the accurate frequency according to the drawn one or more impedance curves.
6. The battery state of health detection method of claim 1, wherein the step S4 specifically includes the steps of:
 step S40, comparing the obtained impedance value with the stored battery impedance value and the area classification comparison table to obtain a comparison working condition;
 and step S41, obtaining the classification area of the battery according to the obtained comparison working condition.
7. A battery state of health detection system, comprising:
 the accurate frequency acquisition module is used for acquiring the accurate frequency of the battery;
 the alternating current applying module is in communication connection with the precise frequency obtaining module and is used for applying the alternating current of the precise frequency to the battery so that the battery can generate impedance response;
 the impedance value acquisition module is in communication connection with the alternating current application module and is used for acquiring impedance data of impedance response;
 and the battery classification region module is in communication connection with the impedance value acquisition module and is used for acquiring a battery classification region according to the acquired impedance value.
8. The battery state of health detection system of claim 7, wherein the precision frequency acquisition module comprises:
 the device comprises a preset frequency range alternating current applying unit, a frequency scanning unit and a control unit, wherein the preset frequency range alternating current applying unit is used for applying a battery to carry out frequency scanning by using alternating current in a preset frequency range so as to generate impedance response;
 the impedance data acquisition unit is in communication connection with the preset frequency alternating current application unit and is used for acquiring impedance data of the battery under different SOCs;
 the impedance curve drawing unit is in communication connection with the impedance data acquisition unit and is used for drawing one or more impedance curves according to the acquired impedance data;
 and the precise frequency acquisition unit is in communication connection with the impedance curve drawing unit and is used for acquiring the precise frequency of the battery according to one or more drawn impedance curves.
9. The battery state of health detection system of claim 7, further comprising a storage unit for storing the battery impedance value and the area classification look-up table.
10. The battery state of health detection system of claim 9, wherein the battery classification region module comprises:
 the comparison unit is in communication connection with the impedance value acquisition module and the storage module and is used for comparing the acquired impedance value with the stored battery impedance value and the area classification comparison table to acquire a comparison working condition;
 and the battery classification region acquisition unit is in communication connection with the comparison unit and is used for acquiring the classification region to which the battery belongs according to the acquired comparison working condition.",CN114994557A,,,CN202210698631,0.494547069,0.494547069,0.989094138,0.473147988,0.233993948,0.467987895,0.467987895,CN,2022-11-29,PENDING,PENDING,PENDING,2042-06-20,,,
US20220268846A1,"Method for Monitoring Battery Cells of a Primary On-Board Electrical System Battery, On-Board Electrical System and Motor Vehicle",H,2021-02-19,2022-02-16,2022-08-25,BMW,BMW - BAYERISCHE MOTOREN WERKE ,,"LOPEZ DE ARROYABE JOSE 
WOELFL GERHARD ","A method for monitoring battery cells of a primary on-board electrical system battery of a motor vehicle by galvanostatic impedance spectroscopy is provided. An AC signal having alternating currents of different frequencies is impressed onto the battery cells as an excitation signal, cell voltage signals of the battery cells are detected as frequency-dependent response signals to the excitation signal, impedance spectra of the battery cells are determined depending on the excitation signal and the response signals, and the primary on-board electrical system battery is divided into at least two subsections each having at least one battery cell in order to provide the excitation signal. The primary on-board electrical system battery is electrically connected to a secondary on-board electrical system battery of the motor vehicle.","What is claimed is:
1. A method for monitoring battery cells of a primary on-board electrical system battery of a motor vehicle by galvanostatic impedance spectroscopy, the method comprising:
  impressing an AC signal having alternating currents of different frequencies onto the battery cells as an excitation signal,
  detecting cell voltage signals of the battery cells as frequency-dependent response signals to the excitation signal,
  determining impedance spectra of the battery cells depending on the excitation signal and the response signals, and
  dividing the primary on-board electrical system battery into at least two subsections each having at least one battery cell in order to provide the excitation signal, wherein:
  the primary on-board electrical system battery is electrically connected to a secondary on-board electrical system battery of the motor vehicle,
  two cycles alternating at the different frequencies are carried out, in which at least one of:
  two different currents are drawn in alternation from the subsections and a secondary-side constant current formed from the two currents over the cycles is supplied to the secondary on-board electrical system battery, or
   a constant current provided on the secondary side by the secondary on-board electrical system battery is provided on the primary side and two different currents formed from the constant current are supplied to the subsections in alternation, and
  a differential current formed on the primary side from the two currents is supplied to the battery cells as the excitation signal, wherein the direction of the differential current alternates with the cycles.
2. The method according to claim 1,
  wherein at least one frequency-dependent characteristic variable of one of the battery cells is determined from the impedance spectrum of the battery cell.
3. The method according to claim 2,
  wherein at least one of a temperature, a state of charge, or an aging of the battery cell is determined as at least one frequency-dependent characteristic variable of the battery cell.
4. An on-board electrical system comprising:
  a primary on-board electrical system battery comprising a plurality of interconnected battery cells,
  a secondary on-board electrical system battery,
  a vehicle-internal on-board diagnostic device,
  a control apparatus, which is configured to impress an AC signal having alternating currents of different frequencies onto the battery cells as an excitation signal, and
  a measurement apparatus, which is configured to detect cell voltage signals of the battery cells as frequency-dependent response signals to the excitation signal and to determine impedance spectra of the battery cells depending on the excitation signal and the response signals, wherein:
  the primary on-board electrical system battery is divided into at least two subsections each having at least one battery cell and is electrically connected to the secondary on-board electrical system battery via the control apparatus,
  the control apparatus is configured to carry out two cycles alternating with the different frequencies,
  the control apparatus is further configured to at least one of:
  draw two different currents in alternation from the subsections and supply a secondary-side constant current formed from the two currents over the cycles to the secondary on-board electrical system battery, or
   provide a constant current provided on the secondary side by the secondary on-board electrical system battery on the primary side and to supply two different currents formed from the constant current to the subsections in alternation, and
  the control apparatus is further configured to supply a differential current formed on the primary side from the two currents and the direction of which alternates with the cycles to the battery cells of the primary on-board electrical system battery as the excitation signal.
5. The on-board electrical system according to claim 4,
  wherein the control apparatus has a DC-DC voltage conversion apparatus, which is electrically connected to the subsections and to the secondary on-board electrical system battery, and the DC-DC voltage conversion apparatus is configured to at least one of:
  draw the different currents from the subsections, feed the different currents to the subsections same thereto and feed the constant current to the secondary on-board electrical system battery, or draw the different currents from the subsections.
6. The on-board electrical system according to claim 5, wherein
  the DC-DC voltage conversion apparatus has a first DC-DC voltage converter, the primary side of which is electrically connected to the first subsection, and a second DC-DC voltage converter, the primary side of which is electrically connected to the second subsection, and
  the DC-DC voltage converters are electrically interconnectable on the secondary side to one another and to the secondary on-board electrical system battery.
7. The on-board electrical system according to claim 4,
  wherein the primary on-board electrical system battery has a center tap, via which the primary on-board electrical system battery is divided into the two subsections.
8. The on-board electrical system according to claim 4, wherein:
  the primary on-board electrical system battery is configured as a high-voltage battery for supplying at least one high-voltage component of the motor vehicle, and
  the secondary on-board electrical system battery is configured as a low-voltage battery for supplying at least one low-voltage component of the motor vehicle.
9. The on-board electrical system according to claim 4,
  wherein the primary on-board electrical system battery is configured as a traction battery for driving the motor vehicle.
10. A motor vehicle comprising the on-board electrical system according to claim 4.","CN114976326A
DE102021103989A1
US20220268846A1",,,DE102021103989,0.399037868,0.399037868,0.798075736,1.303750038,0.520245612,1.040491223,1.040491223,"CN, DE, US",2022-11-29,PENDING,PENDING,"PENDING
PENDING
PENDING",2042-02-16,,,
CN114859255A,Lithium battery SOH detection method of BMS,H,2022-06-10,2022-06-10,2022-08-05,OPTIM SHANGHAI NEW ENERGY,OPTIM SHANGHAI NEW ENERGY ,,"SHANG DEHUA
DU PENGFEI","The invention discloses a lithium battery SOH detection method of a BMS, and the method comprises the steps: employing the frequency domain response characteristics of a lithium battery AC small signal, applying specific frequency excitation through scanning, respectively detecting the AC small signal voltage response and current response of the lithium battery at a specific frequency, carrying out the superposition calculation with an excitation signal, and obtaining the SOH of the lithium battery. AC small signal impedance data of the battery under the frequency is obtained, and even an impedance angle, a quality factor, a loss factor and the like can be further calculated. By analyzing impedance data under multiple groups of frequencies, an alternating-current small-signal impedance Nyquist diagram of the battery within a section of frequency can be fitted. And comparing the impedance diagram when the battery leaves the factory with the impedance diagram after multiple times of charging and discharging to obtain the aging condition of the battery, namely SOH. The method has the beneficial effects that the alternating-current small signal impedance of the battery in a frequency range is scanned by utilizing the alternating-current small signal impedance frequency domain response characteristic of the battery to obtain the Neydeclite diagram, and the SOH of the battery can be calculated by comparing the Neydeclite diagram with data when the battery leaves a factory.","1. A lithium battery SOH detection method of BMS is characterized in that: comprises the following steps
 Firstly, applying specific frequency excitation by scanning by utilizing the frequency domain response characteristic of the alternating small signal of the lithium battery, and respectively detecting the voltage response and the current response of the alternating small signal of the lithium battery under the specific frequency;
 secondly, performing superposition calculation with the excitation signal to obtain alternating current small signal impedance data of the lithium battery at the frequency;
 thirdly, fitting an alternating current small signal impedance Nyquist diagram of the battery in a section of frequency by analyzing impedance data under multiple groups of frequencies;
 comparing the impedance diagram of the battery when leaving the factory with the impedance diagram after multiple charging and discharging to obtain the aging condition of the battery, namely SOH;
 the circuit for detecting the lithium battery SOH comprises:
 the battery pack is composed of a plurality of batteries in series connection, the battery pack is electrically connected with an active equalization circuit used for storing battery equalization energy, a sine excitation circuit used for sending different sine alternating current signals, a voltage detection circuit used for carrying out voltage detection and a current detection circuit used for carrying out current detection, the active equalization circuit and the sine excitation circuit are controlled through a single chip, and detection signals of the voltage detection circuit and the current detection circuit are transmitted to the single chip.
2. The lithium battery SOH detection method of the BMS according to claim 1, wherein: the whole SOH detection circuit of the lithium battery is integrated in a BMS system sampling slave plate.
3. The lithium battery SOH detection method of the BMS according to claim 1, wherein: and in the second step, when the resistance of the lithium battery is detected, the internal resistance of the lithium battery is detected after the charging and discharging are finished.
4. The lithium battery SOH detection method of the BMS according to claim 1, wherein: and the connection circuit of the battery pack is connected with an active balanced switch matrix.
5. The lithium battery SOH detection method of the BMS according to claim 1, wherein: and the positive electrode and the negative electrode of the battery pack are both connected with a blocking coupling capacitor.
6. The lithium battery SOH detection method of the BMS according to claim 1, wherein: when the SOH detection circuit of the lithium battery is used for initial detection, the line resistance is determined firstly.",CN114859255A,,,CN202210657792,0.494547069,0.494547069,0.989094138,0.473147988,0.233993948,0.467987895,0.467987895,CN,2022-11-29,PENDING,PENDING,PENDING,2042-06-10,,,
JP2022112538A,"Method for managing storage battery, device for managing storage battery, and storage battery system",H,2021-01-22,2021-01-22,2022-08-03,RITSUMEIKAN TRUST,RITSUMEIKAN TRUST,,"FUKUI, Masahiro
NISHIMURA YUICHIRO
Hidenori Ito","[Problem] To improve the accuracy of impedance acquired from an equivalent circuit identified using operation data. [Resolution Means] a method for managing a battery, the method comprising: identifying a first equivalent circuit of the battery using operation data that includes current data of the battery; and based on the first equivalent circuit, Obtaining an impedance of the accumulator at one or more operating frequencies of the accumulator, wherein the one or more operating frequencies are determined by frequency analysis of the current data. Selected Drawing: FIG.5","1. A method for managing a storage battery, comprising: identifying a first equivalent circuit of the storage battery using operation data that includes current data of the storage battery; and obtaining an impedance of the storage battery at one or more operating frequencies of the storage battery on the basis of the first equivalent circuit, wherein the one or more operating frequencies are determined by performing a frequency analysis on the current data.
2. The power generation system according to claim 1, wherein the operation data includes at least first operation data that includes first current data in a first operation of the battery, and second operation data that includes second current data in a second operation that is different from the first operation, and the impedance is at least one of: At least a first impedance of the first equivalent circuit identified using the first operational data and a second impedance of the first equivalent circuit identified using the second operational data, wherein the first impedance is at least one of: Wherein the second impedance is an impedance at one or more first operating frequencies in the first operation and the second impedance is an impedance at one or more second operating frequencies in the second operation; The method for managing a storage battery according to claim 1, whereinthe one or more first operating frequencies are determined by performing frequency analysis on the first current data; andthe one or more second operating frequencies are determined by performing frequency analysis on the second current data.
3. The method for managing a battery according to claim 1 or 2, further comprising identifying a second equivalent circuit different from the first equivalent circuit using the impedance.
4. The method for managing a storage battery according to any one of claims 1 to 3, further comprising: obtaining an impedance at a frequency other than the operating frequency by AC impedance measurement of the storage battery.
5. Identifying a second equivalent circuit, different from the first equivalent circuit, using the impedance at the operating frequency and impedances at frequencies other than the operating frequency, wherein the impedances at the frequencies other than the operating frequency include: The method for managing a storage battery according to any one of claims 1 to 3, wherein the measurement is performed by measuring an AC impedance of the storage battery.
6. The method for managing a storage battery according to claim 4 or 5, whereinthe frequency other than the operating frequency is higher than the operating frequency.
7. The method for managing a storage battery according to any one of claims 1 to 6, whereinthe first equivalent circuit is identified by a sequential least squares method using the operation data.
8. The method of managing an accumulator according to claim 3 or 5, wherein the second equivalent circuit comprises two or more RC parallel circuits and a constant phase element connected in series with the two or more RC parallel circuits.
9. Identifying a first equivalent circuit of an accumulator using operation data that includes current data of the accumulator; and obtaining an impedance of the accumulator at one or more operating frequencies of the accumulator based on the first equivalent circuit. Wherein the one or more operating frequencies are determined by performing a frequency analysis on the current data.
10. A storage battery system comprising: a storage battery; and the management device according to claim 9.",JP2022112538A,,,JP2021008359,0.495820045,0.495820045,0.991640091,0.170461997,0.084518477,0.169036955,0.169036955,JP,2022-11-29,PENDING,PENDING,PENDING,2041-01-22,,,
CN114731053A,Battery management system with onboard limited energy excitation and real-time AC impedance detection,H,2022-01-07,2022-03-23,2022-07-08,ASTRI (HONG KONG),HONG KONG APPLIED SCIENCE & TECHNOLOGY RESEARCH INSTITUTE ,,"DING WENLONG
CHEN MENG
SUN YAOFENG
CHEN MANXIN","A battery management system (BMS) that detects a battery pack using alternating current impedance. The BMS controller generates a pulse modulation signal to an onboard excitation regulator of a synchronous buck converter and the like, and performs sweep frequency control on the modulation signal to modulate a limited energy unit of a capacitor and the like. The capacitance modulation signal is applied as an AC excitation to the terminals of the battery pack. The voltage of the battery pack obtained by synchronous sampling is a response to the AC excitation signal. The AC excitation signal current and the response signal battery voltage are processed and subjected to Fourier transform to obtain a corresponding Nyquist diagram. The curve offset may indicate an aging condition of the battery cell. The capacitor that generates the AC excitation signal draws little energy from the battery pack only, so AC impedance detection may be performed in all modes, including charge, discharge, and idle modes, without the need for an external power source.","1. A battery management detector, comprising:
 a first battery connection for connection to a first terminal of a battery pack;
 a second battery connection for connection to a second terminal of the battery pack;
 a first external connector for connecting to a first terminal of an external charger and a first terminal of an external load;
 a second external connector for connecting to a second terminal of the external charger and a second terminal of the external load;
 a power switch connected between the second external connector and the second battery connection, the power switch being controlled by a switching signal in an inactive state to disconnect the second external connector from the second battery connection;
 a controller to place the switching signal in an active state when a charge/discharge mode is activated such that the power switch connects the second external connector to the second battery connection and to place the switching signal in the inactive state when an idle mode is activated;
 generating a modulation signal (PWM _ IN) by the controller during battery detection, outputting a pulse modulation signal (PWM _ OUT), wherein the controller varies a frequency of the modulation signal within a set of frequencies;
 a limited energy unit storing limited energy insufficient to power the battery management detector, wherein the limited energy is sufficient to generate an AC excitation signal;
 an on-board excitation regulator receiving the pulse modulated signal from the controller and driving the finite energy unit with the pulse modulated signal, modulating the finite energy unit to generate the alternating excitation signal;
 wherein the modulation of the alternating excitation signal has the frequency of the modulation signal;
 the on-board excitation regulator injects the AC excitation signal into the first battery connection during battery detection;
 wherein said modulated ac excitation signal injected into said battery pack causes said battery pack to produce a modulated response to a response signal; and is
 A synchronous sampler to sample the response signal in the battery pack and detect the modulated response, wherein the AC excitation signal is generated by the finite energy cell.
2. The battery management detector of claim 1, wherein the finite energy element is a capacitor.
3. The battery management detector of claim 2, wherein the capacitor is connected between the first output node of the on-board excitation regulator and the second battery connection.
4. The battery management detector of claim 3, wherein a second output node of the on-board excitation regulator is directly connected to the first battery connection;
 wherein modulation of the capacitor forms the alternating excitation signal.
5. The battery management detector of claim 2, wherein the on-board excitation regulator is a synchronous buck converter.
6. The battery management detector of claim 5, wherein the controller modulates the modulated signal when battery detection is requested during the charge/discharge mode;
 wherein the controller modulates the modulated signal when battery detection is requested during the idle mode;
 wherein online battery detection can be performed during charging of the battery pack, during discharging of the battery pack, and when the battery pack is idle.
7. The battery management detector of claim 5, further comprising:
 an AC impedance processor that detects the modulated response from the battery pack and the modulated AC excitation signal to generate an impedance map;
 wherein the impedance plot is a plot of imaginary impedance versus real impedance, the impedance plot being a Nyquist plot.
8. The battery management detector of claim 7, wherein the ac impedance processor signals battery aging when it detects a curve shift in the impedance plot.
9. The battery management detector of claim 7, wherein the ac impedance processor further comprises:
 a first discrete sampler for sampling the ac excitation signal to produce a sampled ac excitation signal;
 a first transformer for fourier transforming the sampled ac excitation signal to produce an excitation sequence in the frequency domain;
 a second discrete sampler for sampling the response signal to produce a sampled response signal;
 a second transformer for fourier transforming the sampled response signal to produce a sequence of responses in the frequency domain;
 an impedance calculator that divides the response sequence by the excitation sequence for each frequency in a sequence of frequencies to produce a real part and an imaginary part of an impedance value;
 a plotter for plotting real and imaginary parts of said impedance values onto said impedance map;
 wherein the impedance map is a table of impedance values stored in a computer memory.
10. The battery management detector of claim 7, wherein the on-board excitation regulator is connected between the first battery connection and the second battery connection;
 wherein the on-board excitation regulator drives the AC excitation signal generated by the limited energy unit onto the first battery connection.
11. The battery management detector of claim 7, wherein the ac excitation signal is a current injected into the first battery connection;
 wherein the response signal is a voltage of the battery pack.
12. The battery management detector of claim 11, wherein the response signal is a voltage of an internal node within the battery pack, the internal node being between the first battery connection and the second battery connection and having a different voltage than the first battery connection and the second battery connection.
13. The battery management detector of claim 6, further comprising:
 a fuse connected between the first external connector and the first battery connection.
14. The battery management detector of claim 6, further comprising:
 a battery monitor for receiving a monitoring signal of the battery pack;
 wherein when the monitoring signal indicates a battery pack problem, the controller is responsive to execute an alarm routine that causes the controller to place the switch signal in the inactive state and causes the controller to stop modulating the modulated signal.
15. The battery management detector of claim 6, further comprising:
 an ac excitation current sensor for sensing a current value of the ac excitation signal injected into the first battery connection;
 wherein the controller samples the AC excitation signal using the AC excitation current sensor.
16. The battery management detector of claim 15, further comprising:
 a battery current sensor for sensing a battery current flowing from the first battery connection to the second battery connection;
 wherein the controller compares the battery current sensed by the battery current sensor to a current limit and activates the alarm routine when the battery current exceeds the current limit.
17. A battery management ac impedance detector, comprising:
 a first terminal for connection to a first terminal of a battery pack;
 a second terminal for connection to a second terminal of the battery pack;
 a power switch for connecting the second terminal to a second external terminal when a switching signal is activated and isolating the second terminal from the second external terminal when the switching signal is not activated;
 wherein an external charger is connectable to the second external terminal and the first terminal to charge the battery pack;
 wherein an external load is connectable to the second external terminal and the first terminal to be powered by the battery pack;
 a sampler for sampling a battery test voltage of the battery pack;
 a controller that places the switching signal in an active state during a charge/discharge mode and places the switching signal in an inactive state during an idle mode, wherein the battery pack is not charged and the external load is not driven in the idle mode;
 the controller generates a modulation signal (PWM _ IN) when detecting the battery pack and outputs a pulse modulation signal (PWM _ OUT), and the controller performs frequency sweep control IN a frequency range to modulate the modulation signal;
 a capacitor;
 a synchronous buck converter, input as the pulse modulated signal, driving the capacitor to produce an ac excitation signal having the frequency range of the modulated signal; and
 a first current sensor located between the synchronous buck converter and the first terminal;
 wherein the synchronous buck converter drives the AC excitation signal as a first modulated current flowing through the first current sensor;
 wherein the first modulation current is modulated within the frequency range of the modulation signal;
 wherein the response of the battery pack to the first modulated current is to modulate the battery test voltage;
 wherein the sampler detects a modulated response of the cell test voltage from the battery pack;
 wherein the controller processes the modulated response of the first modulated current and the modulated AC excitation signal to generate battery impedance data for the battery pack.
18. The battery management ac impedance detector of claim 17, further comprising:
 a PWM modulator IN the controller, the PWM modulator responsive to a modulation signal (PWM _ IN) from the controller to generate the pulse modulation signal (PWM _ OUT) as a pulse width modulated output signal.
19. A Battery Management System (BMS) with ac impedance detection, comprising:
 a frequency scanner for adjusting the frequency of the modulated signal within a test frequency range when the battery detection mode is activated;
 a capacitor;
 a synchronous buck converter modulating the capacitor with the pulse modulation signal to generate an alternating excitation current injected into a battery pack;
 a current sensor that senses an alternating current value of the alternating excitation current injected into the battery pack;
 wherein the synchronous buck converter modulates the alternating excitation current over the test frequency range;
 a sampler to measure an alternating test voltage at an internal node in the battery pack, the alternating test voltage varying according to a response of the battery pack to the alternating excitation current;
 an external connector for connecting to an external charger or an external load;
 a power switch between the battery pack and the external connector, the power switch connecting the battery pack to the external connector under control of a switching signal; and
 a controller that puts the switching signal into an active state in a charge/discharge mode and puts the switching signal into an inactive state in an idle mode;
 wherein the controller activates the frequency scanner during the battery detection mode, the battery detection mode being capable of being turned on during the charge/discharge mode and also capable of being turned on during the idle mode;
 wherein the AC current value and the AC test voltage are signal processed to form an impedance value indicative of a state of health of the battery pack.
20. The BMS with ac impedance detection according to claim 19, wherein the synchronous buck converter further comprises:
 a current filter connected between a first terminal of the battery pack and a first buck node;
 a first unidirectional switch connected between the first buck node and a first terminal of the capacitor; and
 a second unidirectional switch connected between the first buck node and a second terminal of the battery pack;
 wherein a second terminal of the capacitor is connected to the second terminal of the battery pack;
 wherein when the pulse modulated signal is in a first state, the first unidirectional switch is enabled to conduct current;
 wherein the second unidirectional switch is enabled to conduct current when the pulse modulated signal is not in the first state.",CN114731053A,,,"US17/570,527",0.469154388,0.469154388,0.938308775,0.473147988,0.221979454,0.443958908,0.443958908,CN,2022-11-29,PENDING,PENDING,PENDING,2042-03-23,,,
