Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
CN114223520A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114223520A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114223520A,APPLICATIONS,PREDICTIONS,GROWTH,,
CN114223520A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
KR1020220036479A,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
KR1020220036479A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
KR1020220036479A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR1020220036479A,PARAMETERS MONITORED,WEATHER,,,
KR1020220036479A,APPLICATIONS,PREDICTIONS,GROWTH,,
IN202241009176A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241009176A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
IN202241009176A,DATA ANALYTICS,IOT,,,
IN202241009176A,DATA ANALYTICS,BIG DATA,,,
IN202241009176A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202241009176A,DATA STORING/ SHARING TECHNOLOGIES,WEB-BASED,,,
IN202241009176A,PARAMETERS MONITORED,FARM YIELD,,,
CN114219673A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
CN114219673A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
CN114219673A,DATA ANALYTICS,IOT,,,
CN114219673A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114219673A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114219673A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114219673A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114168806A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
CN114168806A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
